|url|titulo|texto
0|https://www.boe.es/boe/dias/2024/05/09/pdfs/BOE-A-2024-9350.pdf|Orden PJC/425/2024, de 6 de mayo, por la que se modifica la composición de la Comisión de Selección de las pruebas de acceso a las Carreras Judicial y Fiscal.|"[<texto>
<p class=""parrafo"">Por acuerdo adoptado por la Comisión Permanente del Consejo General del Poder Judicial, en su reunión del día 11 de abril de 2024, se ha nombrado a doña M.ª Jesús Millán de las Heras, Directora en funciones de la Escuela Judicial, con efectos desde el día 12 de abril de 2024, en consecuencia, habiéndose producido un cambio en la composición de la Comisión de Selección de las pruebas de acceso a las Carreras Judicial y Fiscal, según lo dispuesto en el artículo 305.1 de la Ley Orgánica 6/1985, de 1 de julio, del Poder Judicial, procede la publicación en el BOE de dicho nombramiento.</p>
<p class=""parrafo_2"">Madrid, 6 de mayo de 2024.–El Ministro de la Presidencia, Justicia y Relaciones con las Cortes, P. D. (Orden JUS/987/2020, de 20 de octubre), la Directora General para el Servicio Público de Justicia, Maria dels Àngels García Vidal.</p>
</texto>]"
1|https://www.boe.es/boe/dias/2024/05/09/pdfs/BOE-A-2024-9351.pdf|Orden PJC/426/2024, de 7 de mayo, por la que se aprueba la relación provisional de personas admitidas y excluidas en el proceso selectivo para el ingreso, por promoción interna, mediante  concurso oposición, al Cuerpo de Gestión Procesal y Administrativa de la Administración de Justicia, convocado por Orden PJC/104/2024, de 31 de enero.|"[<texto>la relación provisional de personas admitidas y excluidas en el proceso selectivo convocado por Orden PJC/104/2024, de 31 de enero</texto>, <texto>
<p class=""parrafo"">Finalizado el plazo de presentación de instancias, y de conformidad con lo establecido en el artículo 20 Reglamento de Ingreso, Provisión de Puestos de Trabajo y Promoción Profesional del Personal Funcionario al Servicio de la Administración de Justicia, aprobado por Real Decreto 1451/2005, de 7 de diciembre,</p>
<p class=""parrafo"">Este Ministerio ha resuelto:</p>
<p class=""articulo"">Primero.</p>
<p class=""parrafo"">Aprobar las relaciones provisionales de personas aspirantes admitidas y excluidas a las pruebas selectivas para el acceso por promoción interna y sistema de concurso-oposición, al Cuerpo de Gestión Procesal y Administrativa de la Administración de Justicia, convocado por Orden PJC/104/2024, de 31 de enero, y publicar en el anexo I las relaciones provisionales de personas aspirantes excluidas, con indicación de las causas de exclusión que se relacionan en el anexo II.</p>
<p class=""articulo"">Segundo.</p>
<p class=""parrafo"">Las listas certificadas completas quedarán expuestas al público en la página web del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes (www.mjusticia.es), en las páginas web de las comunidades autónomas que convoquen plazas, y en el punto de acceso general (www.administracion.gob.es).</p>
<p class=""parrafo"">En todo caso, las personas aspirantes deberán comprobar no solo que no figuran en la relación de excluidas sino, también, que sus nombres y demás datos constan correctamente en la relación de admitidas.</p>
<p class=""articulo"">Tercero.</p>
<p class=""parrafo"">Tanto las personas aspirantes excluidas como las omitidas por no figurar en las listas de admitidas ni en la de excluidas, podrán subsanar los defectos que hayan motivado su exclusión o su omisión en las listas, en el plazo de diez días hábiles, contados a partir del siguiente al de la publicación de esta orden en el «Boletín Oficial del Estado».</p>
<p class=""parrafo"">La subsanación de la solicitud o, en su caso, la modificación de los datos de la misma, deberá realizarse <em>on line</em> a través de la aplicación de Inscripción en Pruebas Selectivas (IPS) del Punto de Acceso General (https://ips.redsara.es/IPSC/secure/buscarConvocatoriasSubsanar#convocatoriasSubRef).</p>
<p class=""parrafo"">Las personas aspirantes que, dentro del plazo señalado, no subsanen la exclusión o aleguen la omisión justificando su derecho a ser incluidas en la relación de personas admitidas, serán definitivamente excluidas de la realización de las pruebas.</p>
<p class=""articulo"">Cuarto.</p>
<p class=""parrafo"">La inclusión de aspirantes en esta relación de personas admitidas a las pruebas selectivas, por el turno general y por el cupo de reserva para personas con discapacidad no supone en ningún caso el reconocimiento por parte de la Administración de que los mismos reúnen los requisitos generales o particulares exigidos en la respectiva orden de convocatoria. La acreditación y verificación de éstos tendrá lugar para los aspirantes que superen el proceso selectivo, antes de su nombramiento como funcionarios, tal y como se indica en el artículo 23 del Reglamento de Ingreso, Provisión de Puestos de Trabajo y Promoción Profesional del Personal Funcionario al Servicio de la Administración de Justicia; y en la base octava de la orden de convocatoria.</p>
<p class=""articulo"">Quinto.</p>
<p class=""parrafo"">Finalizado el plazo de subsanación se elevarán a definitivas las relaciones de personas aspirantes admitidas y excluidas, exponiéndose para su total difusión en los mismos lugares que las provisionales.</p>
<p class=""articulo"">Sexto.</p>
<p class=""parrafo"">Convocar a las personas aspirantes admitidas para la realización del ejercicio en llamamiento único el próximo día 29 de junio de 2024, a las 9:00 horas (8:00 horas en Canarias).</p>
<p class=""parrafo"">Los lugares concretos de celebración del ejercicio de este proceso selectivo se publicarán en la resolución por la que se aprueben las relaciones definitivas de personas aspirantes admitidas y excluidas.</p>
<p class=""parrafo_2"">Madrid, 7 de mayo de 2024.–El Ministro de la Presidencia, Justicia y Relaciones con las Cortes, P. D. (Orden JUS/987/2020, de 20 de octubre), la Directora General para el Servicio Público de Justicia, María dels Àngels García Vidal.</p>
<p class=""anexo_num"">ANEXO I</p>
<p class=""anexo_tit"">Pruebas selectivas para acceso, por el sistema de promoción interna, al Cuerpo de Gestión Procesal y Administrativa de la Administración de Justicia (BOE de 12 de febrero de 2024)</p>
<table class=""tabla_ancha"">
<caption>
<p class=""centro_cursiva"">Relación provisional de aspirantes excluidos con notificación de las causas de exclusión</p>
</caption>
<colgroup>
<col/>
<col/>
<col/>
<col/>
<col/>
<col/>
<col/>
<col/>
</colgroup>
<thead>
<tr>
<th class=""cabeza_tabla"">DNI</th>
<th class=""cabeza_tabla"">Apellidos y nombre</th>
<th class=""cabeza_tabla"">Acceso</th>
<th class=""cabeza_tabla"">P.O.L.</th>
<th class=""cabeza_tabla"">P.O.D.</th>
<th class=""cabeza_tabla"">P. examen</th>
<th class=""cabeza_tabla"">Ámbito</th>
<th class=""cabeza_tabla"">Excluidos</th>
</tr>
</thead>
<tbody>
<tr>
<td class=""cuerpo_tabla_centro"">***8071**</td>
<td class=""cuerpo_tabla_izq"">ABAD GUIJARRO, MIGUEL.</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_izq"">VALENCIA.</td>
<td class=""cuerpo_tabla_izq"">COMUNIDAD VALENCIANA.</td>
<td class=""cuerpo_tabla_izq"">EXCL.: M.</td>
</tr>
<tr>
<td class=""cuerpo_tabla_centro"">***7524**</td>
<td class=""cuerpo_tabla_izq"">ACOBI MUÑOZ, CATALINA.</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_izq"">LA RIOJA.</td>
<td class=""cuerpo_tabla_izq"">LA RIOJA.</td>
<td class=""cuerpo_tabla_izq"">EXCL.: M.</td>
</tr>
<tr>
<td class=""cuerpo_tabla_centro"">***8549**</td>
<td class=""cuerpo_tabla_izq"">AGUILAR BENITEZ, ESTEFANIA.</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_izq"">LAS PALMAS.</td>
<td class=""cuerpo_tabla_izq"">CANARIAS.</td>
<td class=""cuerpo_tabla_izq"">EXCL.: M.</td>
</tr>
<tr>
<td class=""cuerpo_tabla_centro"">***6008**</td>
<td class=""cuerpo_tabla_izq"">ALBA PONCE, ANA ISABEL.</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro"">D</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_izq"">VALENCIA.</td>
<td class=""cuerpo_tabla_izq"">COMUNIDAD VALENCIANA.</td>
<td class=""cuerpo_tabla_izq"">EXCL.: M.</td>
</tr>
<tr>
<td class=""cuerpo_tabla_centro"">***4611**</td>
<td class=""cuerpo_tabla_izq"">ALCALA GALAN, MARIA BELEN.</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_izq"">MADRID.</td>
<td class=""cuerpo_tabla_izq"">MADRID.</td>
<td class=""cuerpo_tabla_izq"">EXCL.: E, G.</td>
</tr>
<tr>
<td class=""cuerpo_tabla_centro"">***8424**</td>
<td class=""cuerpo_tabla_izq"">ALFAMBRA BORNAO, MARIA JESUS.</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_izq"">ZARAGOZA.</td>
<td class=""cuerpo_tabla_izq"">ARAGON.</td>
<td class=""cuerpo_tabla_izq"">EXCL.: M.</td>
</tr>
<tr>
<td class=""cuerpo_tabla_centro"">***5495**</td>
<td class=""cuerpo_tabla_izq"">ALMELA MARTINEZ, MARIA.</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_izq"">MADRID.</td>
<td class=""cuerpo_tabla_izq"">MADRID.</td>
<td class=""cuerpo_tabla_izq"">EXCL.: M.</td>
</tr>
<tr>
<td class=""cuerpo_tabla_centro"">***8700**</td>
<td class=""cuerpo_tabla_izq"">ALONSO COPADO, SARAY.</td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_centro""> </td>
<td class=""cuerpo_tabla_izq"">SEVILLA.</td>
<td class=""cuerpo_tabla_izq"">ANDALUCIA.</td>
